price,Year,Make,Model,mileage
14900,2014,Hyundai,Sonata,19820
19000,2016,Hyundai,Sonata,21400
18900,2015,Hyundai,Sonata,25809
16900,2016,Hyundai,Sonata,39167
30740,2018,Hyundai,Sonata,0
14618,2015,Hyundai,Sonata,35325
24999,2017,Hyundai,Sonata,8370
14800,2015,Hyundai,Sonata,44000
16995,2015,Hyundai,Sonata,56089
12499,2015,Hyundai,Sonata,17250
8995,2011,Hyundai,Sonata,94964
12196,2016,Hyundai,Sonata,44068
10500,2015,Hyundai,Sonata,25000
21740,2018,Hyundai,Sonata,597
3200,2004,Hyundai,Sonata,148000
9995,2013,Hyundai,Sonata,58540
1800,1999,Hyundai,Sonata,185679
3995,2006,Hyundai,Sonata,134355
800,2002,Ford,Focus,136000
9600,2010,Ford,Focus,48000
3200,2000,Ford,Focus,163000
6999,2007,Ford,Focus,116250
7995,2011,Ford,Focus,50397
6000,2010,Ford,Focus,103588
3000,2007,Ford,Focus,150000
15500,2016,Ford,Focus,28000
17120,2018,Ford,Focus,0
17515,2018,Ford,Focus,0
14400,2013,Ford,Focus,95000
11950,2016,Ford,Focus,39813
9900,2014,Ford,Focus,65389
10900,2014,Ford,Focus,38016
